Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Chris Pruitt (90000043),Chris Pruitt,90000043,WR/FLEX,8100,PHI@DAL 07/24/2026 01:00PM ET,PHI,24.23
WR,Chris Estrada (90000235),Chris Estrada,90000235,WR/FLEX,8000,ATL@NO 07/24/2026 08:20PM ET,ATL,23.86
WR,Levi Halsey (90000176),Levi Halsey,90000176,WR/FLEX,8000,JAX@PIT 07/24/2026 04:25PM ET,PIT,21.42
WR,Ryan Rivers (90000079),Ryan Rivers,90000079,WR/FLEX,8000,CIN@BAL 07/24/2026 01:00PM ET,BAL,22.45
RB,Tyler Brooks (90000017),Tyler Brooks,90000017,RB/FLEX,7800,KC@BUF 07/24/2026 01:00PM ET,KC,18.09
WR,Zach Ellison (90000031),Zach Ellison,90000031,WR/FLEX,7700,PHI@DAL 07/24/2026 01:00PM ET,DAL,23.67
WR,Aaron Truman (90000199),Aaron Truman,90000199,WR/FLEX,7700,LAC@DEN 07/24/2026 04:25PM ET,DEN,20.18
WR,DeAndre Nakamura (90000139),DeAndre Nakamura,90000139,WR/FLEX,7700,LAR@SEA 07/24/2026 04:05PM ET,LAR,19.73
RB,Preston Nakamura (90000172),Preston Nakamura,90000172,RB/FLEX,7700,JAX@PIT 07/24/2026 04:25PM ET,PIT,25.02
WR,Ryan Blackwell (90000019),Ryan Blackwell,90000019,WR/FLEX,7700,KC@BUF 07/24/2026 01:00PM ET,KC,18.95
QB,Preston Manning (90000038),Preston Manning,90000038,QB,7700,PHI@DAL 07/24/2026 01:00PM ET,PHI,18.34
WR,Antonio Osei (90000104),Antonio Osei,90000104,WR/FLEX,7600,DET@GB 07/24/2026 01:00PM ET,GB,17.74
WR,Reggie Osei (90000175),Reggie Osei,90000175,WR/FLEX,7600,JAX@PIT 07/24/2026 04:25PM ET,PIT,20.39
WR,Tyler Delgado (90000211),Tyler Delgado,90000211,WR/FLEX,7600,LAC@DEN 07/24/2026 04:25PM ET,LAC,20.66
WR,Corey Okafor (90000067),Corey Okafor,90000067,WR/FLEX,7600,SF@MIA 07/24/2026 01:00PM ET,SF,19.21
RB,Dominic Rourke (90000136),Dominic Rourke,90000136,RB/FLEX,7500,LAR@SEA 07/24/2026 04:05PM ET,LAR,18.61
QB,Emmanuel Boykin (90000002),Emmanuel Boykin,90000002,QB,7500,KC@BUF 07/24/2026 01:00PM ET,BUF,18.09
WR,Levi Truman (90000116),Levi Truman,90000116,WR/FLEX,7300,DET@GB 07/24/2026 01:00PM ET,DET,17.98
RB,Cameron Pruitt (90000160),Cameron Pruitt,90000160,RB/FLEX,7300,MIN@HOU 07/24/2026 04:05PM ET,MIN,21.02
WR,Brandon Hargrove (90000007),Brandon Hargrove,90000007,WR/FLEX,7100,KC@BUF 07/24/2026 01:00PM ET,BUF,17.7
WR,Miles Pace (90000055),Miles Pace,90000055,WR/FLEX,7100,SF@MIA 07/24/2026 01:00PM ET,MIA,20.7
RB,Brandon Grant (90000148),Brandon Grant,90000148,RB/FLEX,7100,MIN@HOU 07/24/2026 04:05PM ET,HOU,18.92
RB,Levi Osei (90000208),Levi Osei,90000208,RB/FLEX,7100,LAC@DEN 07/24/2026 04:25PM ET,LAC,19.96
QB,Cole Bishop (90000194),Cole Bishop,90000194,QB,7100,LAC@DEN 07/24/2026 04:25PM ET,DEN,19.19
RB,Jordan Winslow (90000077),Jordan Winslow,90000077,RB/FLEX,7000,CIN@BAL 07/24/2026 01:00PM ET,BAL,13.91
WR,Malik Delgado (90000044),Malik Delgado,90000044,WR/FLEX,7000,PHI@DAL 07/24/2026 01:00PM ET,PHI,19.31
RB,Aaron Monroe (90000028),Aaron Monroe,90000028,RB/FLEX,7000,PHI@DAL 07/24/2026 01:00PM ET,DAL,19.01
RB,Zach Pruitt (90000112),Zach Pruitt,90000112,RB/FLEX,7000,DET@GB 07/24/2026 01:00PM ET,DET,18.93
QB,Emmanuel Whitfield (90000098),Emmanuel Whitfield,90000098,QB,7000,DET@GB 07/24/2026 01:00PM ET,GB,19.53
RB,Devon Fontaine (90000184),Devon Fontaine,90000184,RB/FLEX,7000,JAX@PIT 07/24/2026 04:25PM ET,JAX,20.06
WR,Antonio Nakamura (90000068),Antonio Nakamura,90000068,WR/FLEX,6800,SF@MIA 07/24/2026 01:00PM ET,SF,15.23
TE,Chris Fontaine (90000023),Chris Fontaine,90000023,TE/FLEX,6800,KC@BUF 07/24/2026 01:00PM ET,KC,17.46
WR,Elijah Vance (90000187),Elijah Vance,90000187,WR/FLEX,6800,JAX@PIT 07/24/2026 04:25PM ET,JAX,19.6
RB,Devon Manning (90000040),Devon Manning,90000040,RB/FLEX,6700,PHI@DAL 07/24/2026 01:00PM ET,PHI,16.59
RB,Trevor Rivers (90000016),Trevor Rivers,90000016,RB/FLEX,6700,KC@BUF 07/24/2026 01:00PM ET,KC,13.42
WR,Malik Boykin (90000140),Malik Boykin,90000140,WR/FLEX,6700,LAR@SEA 07/24/2026 04:05PM ET,LAR,16.05
WR,Antonio Bishop (90000091),Antonio Bishop,90000091,WR/FLEX,6700,CIN@BAL 07/24/2026 01:00PM ET,CIN,17.46
QB,Omar Pruitt (90000050),Omar Pruitt,90000050,QB,6600,SF@MIA 07/24/2026 01:00PM ET,MIA,20.06
RB,Miles Manning (90000196),Miles Manning,90000196,RB/FLEX,6600,LAC@DEN 07/24/2026 04:25PM ET,DEN,18.0
TE,Jordan Truman (90000011),Jordan Truman,90000011,TE/FLEX,6500,KC@BUF 07/24/2026 01:00PM ET,BUF,11.92
RB,Caleb Monroe (90000124),Caleb Monroe,90000124,RB/FLEX,6500,LAR@SEA 07/24/2026 04:05PM ET,SEA,15.97
WR,Ryan Monroe (90000151),Ryan Monroe,90000151,WR/FLEX,6500,MIN@HOU 07/24/2026 04:05PM ET,HOU,21.64
WR,Preston Kessler (90000080),Preston Kessler,90000080,WR/FLEX,6500,CIN@BAL 07/24/2026 01:00PM ET,BAL,14.03
RB,Levi Rivers (90000041),Levi Rivers,90000041,RB/FLEX,6400,PHI@DAL 07/24/2026 01:00PM ET,PHI,14.11
WR,Levi Rourke (90000045),Levi Rourke,90000045,WR/FLEX,6400,PHI@DAL 07/24/2026 01:00PM ET,PHI,15.51
WR,Omar Nakamura (90000128),Omar Nakamura,90000128,WR/FLEX,6400,LAR@SEA 07/24/2026 04:05PM ET,SEA,18.32
QB,Omar Denning (90000206),Omar Denning,90000206,QB,6400,LAC@DEN 07/24/2026 04:25PM ET,LAC,16.5
RB,Levi Bishop (90000220),Levi Bishop,90000220,RB/FLEX,6300,ATL@NO 07/24/2026 08:20PM ET,NO,16.75
QB,Antonio Coleman (90000026),Antonio Coleman,90000026,QB,6300,PHI@DAL 07/24/2026 01:00PM ET,DAL,15.32
RB,Trevor Vance (90000101),Trevor Vance,90000101,RB/FLEX,6300,DET@GB 07/24/2026 01:00PM ET,GB,16.95
RB,Nate Winslow (90000065),Nate Winslow,90000065,RB/FLEX,6300,SF@MIA 07/24/2026 01:00PM ET,SF,12.46
WR,Malik Pace (90000008),Malik Pace,90000008,WR/FLEX,6200,KC@BUF 07/24/2026 01:00PM ET,BUF,16.25
WR,Elijah Booker (90000127),Elijah Booker,90000127,WR/FLEX,6100,LAR@SEA 07/24/2026 04:05PM ET,SEA,18.6
RB,Jared Delgado (90000005),Jared Delgado,90000005,RB/FLEX,6100,KC@BUF 07/24/2026 01:00PM ET,BUF,11.02
WR,Aaron Kessler (90000069),Aaron Kessler,90000069,WR/FLEX,6100,SF@MIA 07/24/2026 01:00PM ET,SF,11.37
TE,Ryan Bishop (90000179),Ryan Bishop,90000179,TE/FLEX,6100,JAX@PIT 07/24/2026 04:25PM ET,PIT,15.25
WR,Jordan Hargrove (90000020),Jordan Hargrove,90000020,WR/FLEX,6100,KC@BUF 07/24/2026 01:00PM ET,KC,13.89
RB,Cameron Fontaine (90000052),Cameron Fontaine,90000052,RB/FLEX,6100,SF@MIA 07/24/2026 01:00PM ET,MIA,19.21
WR,Malik Odom (90000163),Malik Odom,90000163,WR/FLEX,6000,MIN@HOU 07/24/2026 04:05PM ET,MIN,17.37
QB,Grant Kessler (90000134),Grant Kessler,90000134,QB,6000,LAR@SEA 07/24/2026 04:05PM ET,LAR,13.7
WR,Jordan Coleman (90000092),Jordan Coleman,90000092,WR/FLEX,6000,CIN@BAL 07/24/2026 01:00PM ET,CIN,13.02
TE,Nate Fields (90000083),Nate Fields,90000083,TE/FLEX,6000,CIN@BAL 07/24/2026 01:00PM ET,BAL,14.13
WR,Corey Rivers (90000033),Corey Rivers,90000033,WR/FLEX,6000,PHI@DAL 07/24/2026 01:00PM ET,DAL,13.59
WR,Miles Castillo (90000212),Miles Castillo,90000212,WR/FLEX,6000,LAC@DEN 07/24/2026 04:25PM ET,LAC,13.71
WR,Jalen Boykin (90000188),Jalen Boykin,90000188,WR/FLEX,6000,JAX@PIT 07/24/2026 04:25PM ET,JAX,14.84
RB,Deshawn Fields (90000029),Deshawn Fields,90000029,RB/FLEX,5900,PHI@DAL 07/24/2026 01:00PM ET,DAL,15.44
QB,Devon Bishop (90000146),Devon Bishop,90000146,QB,5900,MIN@HOU 07/24/2026 04:05PM ET,HOU,15.19
WR,Emmanuel Pace (90000032),Emmanuel Pace,90000032,WR/FLEX,5900,PHI@DAL 07/24/2026 01:00PM ET,DAL,14.51
TE,Corey Manning (90000047),Corey Manning,90000047,TE/FLEX,5800,PHI@DAL 07/24/2026 01:00PM ET,PHI,13.69
TE,Ryan Hargrove (90000143),Ryan Hargrove,90000143,TE/FLEX,5800,LAR@SEA 07/24/2026 04:05PM ET,LAR,10.83
QB,Brandon Boykin (90000182),Brandon Boykin,90000182,QB,5800,JAX@PIT 07/24/2026 04:25PM ET,JAX,13.64
WR,Trevor Estrada (90000224),Trevor Estrada,90000224,WR/FLEX,5800,ATL@NO 07/24/2026 08:20PM ET,NO,13.81
RB,Isaiah Vance (90000233),Isaiah Vance,90000233,RB/FLEX,5800,ATL@NO 07/24/2026 08:20PM ET,ATL,10.95
TE,Devon Marshall (90000167),Devon Marshall,90000167,TE/FLEX,5800,MIN@HOU 07/24/2026 04:05PM ET,MIN,14.17
TE,Xavier Okafor (90000095),Xavier Okafor,90000095,TE/FLEX,5700,CIN@BAL 07/24/2026 01:00PM ET,CIN,10.59
WR,Aaron Denning (90000164),Aaron Denning,90000164,WR/FLEX,5700,MIN@HOU 07/24/2026 04:05PM ET,MIN,16.58
WR,Trevor Monroe (90000153),Trevor Monroe,90000153,WR/FLEX,5700,MIN@HOU 07/24/2026 04:05PM ET,HOU,13.42
QB,Reggie Fields (90000158),Reggie Fields,90000158,QB,5700,MIN@HOU 07/24/2026 04:05PM ET,MIN,16.65
WR,Julian Boykin (90000021),Julian Boykin,90000021,WR/FLEX,5600,KC@BUF 07/24/2026 01:00PM ET,KC,12.1
TE,Omar Coleman (90000107),Omar Coleman,90000107,TE/FLEX,5600,DET@GB 07/24/2026 01:00PM ET,GB,12.76
WR,Chris Manning (90000105),Chris Manning,90000105,WR/FLEX,5600,DET@GB 07/24/2026 01:00PM ET,GB,10.44
TE,Trevor Truman (90000203),Trevor Truman,90000203,TE/FLEX,5600,LAC@DEN 07/24/2026 04:25PM ET,DEN,13.17
QB,Xavier Ashworth (90000170),Xavier Ashworth,90000170,QB,5600,JAX@PIT 07/24/2026 04:25PM ET,PIT,13.43
WR,Cole Ashworth (90000152),Cole Ashworth,90000152,WR/FLEX,5600,MIN@HOU 07/24/2026 04:05PM ET,HOU,15.34
WR,Omar Ellison (90000236),Omar Ellison,90000236,WR/FLEX,5500,ATL@NO 07/24/2026 08:20PM ET,ATL,12.3
DST,Jaguars (90000193),Jaguars,90000193,DST,5500,JAX@PIT 07/24/2026 04:25PM ET,JAX,9.85
RB,Zach Blackwell (90000113),Zach Blackwell,90000113,RB/FLEX,5500,DET@GB 07/24/2026 01:00PM ET,DET,12.79
WR,Omar Blackwell (90000056),Omar Blackwell,90000056,WR/FLEX,5500,SF@MIA 07/24/2026 01:00PM ET,MIA,17.61
RB,Jalen Monroe (90000173),Jalen Monroe,90000173,RB/FLEX,5500,JAX@PIT 07/24/2026 04:25PM ET,PIT,13.34
TE,Cameron Winslow (90000191),Cameron Winslow,90000191,TE/FLEX,5400,JAX@PIT 07/24/2026 04:25PM ET,JAX,15.63
WR,Emmanuel Ellison (90000200),Emmanuel Ellison,90000200,WR/FLEX,5400,LAC@DEN 07/24/2026 04:25PM ET,DEN,13.8
WR,Grant Brooks (90000225),Grant Brooks,90000225,WR/FLEX,5400,ATL@NO 07/24/2026 08:20PM ET,NO,12.58
RB,Levi Marshall (90000221),Levi Marshall,90000221,RB/FLEX,5400,ATL@NO 07/24/2026 08:20PM ET,NO,12.05
TE,Caleb Blackwell (90000215),Caleb Blackwell,90000215,TE/FLEX,5400,LAC@DEN 07/24/2026 04:25PM ET,LAC,12.5
RB,Emmanuel Larkin (90000161),Emmanuel Larkin,90000161,RB/FLEX,5300,MIN@HOU 07/24/2026 04:05PM ET,MIN,11.3
RB,DeAndre Whitfield (90000089),DeAndre Whitfield,90000089,RB/FLEX,5300,CIN@BAL 07/24/2026 01:00PM ET,CIN,12.0
TE,Elijah Ellison (90000035),Elijah Ellison,90000035,TE/FLEX,5300,PHI@DAL 07/24/2026 01:00PM ET,DAL,13.13
TE,Elijah Winslow (90000227),Elijah Winslow,90000227,TE/FLEX,5300,ATL@NO 07/24/2026 08:20PM ET,NO,15.33
WR,Deshawn Boykin (90000237),Deshawn Boykin,90000237,WR/FLEX,5200,ATL@NO 07/24/2026 08:20PM ET,ATL,10.57
QB,Julian Whitfield (90000110),Julian Whitfield,90000110,QB,5200,DET@GB 07/24/2026 01:00PM ET,DET,10.11
WR,Trevor Ellison (90000117),Trevor Ellison,90000117,WR/FLEX,5200,DET@GB 07/24/2026 01:00PM ET,DET,10.19
DST,Packers (90000109),Packers,90000109,DST,5200,DET@GB 07/24/2026 01:00PM ET,GB,9.73
WR,Kendall Pruitt (90000057),Kendall Pruitt,90000057,WR/FLEX,5100,SF@MIA 07/24/2026 01:00PM ET,MIA,11.3
TE,Elijah Okafor (90000131),Elijah Okafor,90000131,TE/FLEX,5100,LAR@SEA 07/24/2026 04:05PM ET,SEA,10.21
RB,Levi Grant (90000100),Levi Grant,90000100,RB/FLEX,5000,DET@GB 07/24/2026 01:00PM ET,GB,11.53
RB,Marcus Grant (90000209),Marcus Grant,90000209,RB/FLEX,5000,LAC@DEN 07/24/2026 04:25PM ET,LAC,11.08
RB,Cameron Estrada (90000125),Cameron Estrada,90000125,RB/FLEX,5000,LAR@SEA 07/24/2026 04:05PM ET,SEA,10.08
TE,Preston Bishop (90000155),Preston Bishop,90000155,TE/FLEX,5000,MIN@HOU 07/24/2026 04:05PM ET,HOU,11.24
RB,Brandon Pruitt (90000197),Brandon Pruitt,90000197,RB/FLEX,5000,LAC@DEN 07/24/2026 04:25PM ET,DEN,11.72
WR,Xavier Whitfield (90000177),Xavier Whitfield,90000177,WR/FLEX,5000,JAX@PIT 07/24/2026 04:25PM ET,PIT,10.18
RB,Corey Boykin (90000137),Corey Boykin,90000137,RB/FLEX,4900,LAR@SEA 07/24/2026 04:05PM ET,LAR,8.19
WR,Tyler Fields (90000009),Tyler Fields,90000009,WR/FLEX,4900,KC@BUF 07/24/2026 01:00PM ET,BUF,10.74
DST,Texans (90000157),Texans,90000157,DST,4900,MIN@HOU 07/24/2026 04:05PM ET,HOU,7.63
QB,Jalen Coleman (90000086),Jalen Coleman,90000086,QB,4900,CIN@BAL 07/24/2026 01:00PM ET,CIN,13.02
DST,Broncos (90000205),Broncos,90000205,DST,4800,LAC@DEN 07/24/2026 04:25PM ET,DEN,9.49
WR,Chris Coleman (90000201),Chris Coleman,90000201,WR/FLEX,4800,LAC@DEN 07/24/2026 04:25PM ET,DEN,9.3
DST,49ers (90000073),49ers,90000073,DST,4700,SF@MIA 07/24/2026 01:00PM ET,SF,7.47
WR,Deshawn Kessler (90000165),Deshawn Kessler,90000165,WR/FLEX,4700,MIN@HOU 07/24/2026 04:05PM ET,MIN,10.1
RB,Grant Osei (90000149),Grant Osei,90000149,RB/FLEX,4700,MIN@HOU 07/24/2026 04:05PM ET,HOU,9.76
DST,Dolphins (90000061),Dolphins,90000061,DST,4700,SF@MIA 07/24/2026 01:00PM ET,MIA,9.35
DST,Chargers (90000217),Chargers,90000217,DST,4600,LAC@DEN 07/24/2026 04:25PM ET,LAC,8.18
DST,Cowboys (90000037),Cowboys,90000037,DST,4600,PHI@DAL 07/24/2026 01:00PM ET,DAL,8.08
DST,Ravens (90000085),Ravens,90000085,DST,4600,CIN@BAL 07/24/2026 01:00PM ET,BAL,8.04
TE,Jared Osei (90000059),Jared Osei,90000059,TE/FLEX,4600,SF@MIA 07/24/2026 01:00PM ET,MIA,12.11
WR,Brandon Fields (90000093),Brandon Fields,90000093,WR/FLEX,4600,CIN@BAL 07/24/2026 01:00PM ET,CIN,8.72
RB,Zach Fontaine (90000185),Zach Fontaine,90000185,RB/FLEX,4600,JAX@PIT 07/24/2026 04:25PM ET,JAX,10.49
DST,Saints (90000229),Saints,90000229,DST,4500,ATL@NO 07/24/2026 08:20PM ET,NO,8.47
TE,Jordan Brooks (90000119),Jordan Brooks,90000119,TE/FLEX,4500,DET@GB 07/24/2026 01:00PM ET,DET,7.92
WR,Isaiah Sanders (90000213),Isaiah Sanders,90000213,WR/FLEX,4500,LAC@DEN 07/24/2026 04:25PM ET,LAC,9.33
RB,DeAndre Denning (90000053),DeAndre Denning,90000053,RB/FLEX,4500,SF@MIA 07/24/2026 01:00PM ET,MIA,12.42
DST,Bills (90000013),Bills,90000013,DST,4500,KC@BUF 07/24/2026 01:00PM ET,BUF,7.44
WR,Reggie Pace (90000081),Reggie Pace,90000081,WR/FLEX,4400,CIN@BAL 07/24/2026 01:00PM ET,BAL,5.91
TE,Preston Blackwell (90000239),Preston Blackwell,90000239,TE/FLEX,4400,ATL@NO 07/24/2026 08:20PM ET,ATL,7.35
DST,Falcons (90000241),Falcons,90000241,DST,4400,ATL@NO 07/24/2026 08:20PM ET,ATL,7.41
WR,Nate Boykin (90000141),Nate Boykin,90000141,WR/FLEX,4300,LAR@SEA 07/24/2026 04:05PM ET,LAR,6.57
DST,Bengals (90000097),Bengals,90000097,DST,4300,CIN@BAL 07/24/2026 01:00PM ET,CIN,7.7
DST,Rams (90000145),Rams,90000145,DST,4200,LAR@SEA 07/24/2026 04:05PM ET,LAR,6.33
RB,Preston Sanders (90000030),Preston Sanders,90000030,RB/FLEX,4000,PHI@DAL 07/24/2026 01:00PM ET,DAL,6.42
DST,Steelers (90000181),Steelers,90000181,DST,4000,JAX@PIT 07/24/2026 04:25PM ET,PIT,5.51
DST,Seahawks (90000133),Seahawks,90000133,DST,3900,LAR@SEA 07/24/2026 04:05PM ET,SEA,6.15
DST,Chiefs (90000025),Chiefs,90000025,DST,3900,KC@BUF 07/24/2026 01:00PM ET,KC,6.92
DST,Eagles (90000049),Eagles,90000049,DST,3900,PHI@DAL 07/24/2026 01:00PM ET,PHI,5.89
WR,Julian Ellison (90000189),Julian Ellison,90000189,WR/FLEX,3800,JAX@PIT 07/24/2026 04:25PM ET,JAX,6.58
WR,Antonio Winslow (90000129),Antonio Winslow,90000129,WR/FLEX,3800,LAR@SEA 07/24/2026 04:05PM ET,SEA,8.14
RB,Reggie Winslow (90000138),Reggie Winslow,90000138,RB/FLEX,3800,LAR@SEA 07/24/2026 04:05PM ET,LAR,4.72
RB,Aaron Delgado (90000234),Aaron Delgado,90000234,RB/FLEX,3700,ATL@NO 07/24/2026 08:20PM ET,ATL,3.67
RB,Antonio Vance (90000174),Antonio Vance,90000174,RB/FLEX,3700,JAX@PIT 07/24/2026 04:25PM ET,PIT,4.84
WR,Julian Booker (90000082),Julian Booker,90000082,WR/FLEX,3700,CIN@BAL 07/24/2026 01:00PM ET,BAL,4.5
WR,Brandon Marshall (90000046),Brandon Marshall,90000046,WR/FLEX,3700,PHI@DAL 07/24/2026 01:00PM ET,PHI,5.43
DST,Lions (90000121),Lions,90000121,DST,3600,DET@GB 07/24/2026 01:00PM ET,DET,4.98
TE,Corey Pace (90000072),Corey Pace,90000072,TE/FLEX,3600,SF@MIA 07/24/2026 01:00PM ET,SF,3.38
WR,Malik Booker (90000238),Malik Booker,90000238,WR/FLEX,3600,ATL@NO 07/24/2026 08:20PM ET,ATL,4.22
WR,Dominic Kessler (90000058),Dominic Kessler,90000058,WR/FLEX,3500,SF@MIA 07/24/2026 01:00PM ET,MIA,4.7
WR,Jordan Pace (90000214),Jordan Pace,90000214,WR/FLEX,3500,LAC@DEN 07/24/2026 04:25PM ET,LAC,4.16
WR,Cameron Castillo (90000190),Cameron Castillo,90000190,WR/FLEX,3400,JAX@PIT 07/24/2026 04:25PM ET,JAX,3.7
TE,Dominic Winslow (90000144),Dominic Winslow,90000144,TE/FLEX,3400,LAR@SEA 07/24/2026 04:05PM ET,LAR,3.51
TE,Malik Estrada (90000096),Malik Estrada,90000096,TE/FLEX,3400,CIN@BAL 07/24/2026 01:00PM ET,CIN,3.51
RB,Preston Okafor (90000066),Preston Okafor,90000066,RB/FLEX,3400,SF@MIA 07/24/2026 01:00PM ET,SF,3.12
WR,Ryan Pace (90000094),Ryan Pace,90000094,WR/FLEX,3400,CIN@BAL 07/24/2026 01:00PM ET,CIN,3.59
WR,Xavier Monroe (90000106),Xavier Monroe,90000106,WR/FLEX,3300,DET@GB 07/24/2026 01:00PM ET,GB,2.91
RB,Aaron Sanders (90000042),Aaron Sanders,90000042,RB/FLEX,3300,PHI@DAL 07/24/2026 01:00PM ET,PHI,3.14
RB,Corey Monroe (90000222),Corey Monroe,90000222,RB/FLEX,3300,ATL@NO 07/24/2026 08:20PM ET,NO,3.32
TE,Zach Sanders (90000240),Zach Sanders,90000240,TE/FLEX,3300,ATL@NO 07/24/2026 08:20PM ET,ATL,2.56
WR,Kendall Estrada (90000226),Kendall Estrada,90000226,WR/FLEX,3300,ATL@NO 07/24/2026 08:20PM ET,NO,4.18
WR,Devon Larkin (90000118),Devon Larkin,90000118,WR/FLEX,3300,DET@GB 07/24/2026 01:00PM ET,DET,3.46
TE,Devon Okafor (90000216),Devon Okafor,90000216,TE/FLEX,3300,LAC@DEN 07/24/2026 04:25PM ET,LAC,3.88
WR,Xavier Pace (90000154),Xavier Pace,90000154,WR/FLEX,3300,MIN@HOU 07/24/2026 04:05PM ET,HOU,3.79
RB,Marcus Monroe (90000198),Marcus Monroe,90000198,RB/FLEX,3300,LAC@DEN 07/24/2026 04:25PM ET,DEN,4.4
TE,Jalen Fontaine (90000156),Jalen Fontaine,90000156,TE/FLEX,3200,MIN@HOU 07/24/2026 04:05PM ET,HOU,3.68
RB,Levi Denning (90000054),Levi Denning,90000054,RB/FLEX,3200,SF@MIA 07/24/2026 01:00PM ET,MIA,4.06
TE,Xavier Larkin (90000060),Xavier Larkin,90000060,TE/FLEX,3200,SF@MIA 07/24/2026 01:00PM ET,MIA,3.75
WR,Preston Whitfield (90000034),Preston Whitfield,90000034,WR/FLEX,3200,PHI@DAL 07/24/2026 01:00PM ET,DAL,3.35
WR,Reggie Larkin (90000010),Reggie Larkin,90000010,WR/FLEX,3200,KC@BUF 07/24/2026 01:00PM ET,BUF,3.78
DST,Vikings (90000169),Vikings,90000169,DST,3100,MIN@HOU 07/24/2026 04:05PM ET,MIN,2.51
RB,Malik Rivers (90000126),Malik Rivers,90000126,RB/FLEX,3100,LAR@SEA 07/24/2026 04:05PM ET,SEA,2.73
TE,Dominic Marshall (90000084),Dominic Marshall,90000084,TE/FLEX,3100,CIN@BAL 07/24/2026 01:00PM ET,BAL,2.7
TE,DeAndre Rivers (90000168),DeAndre Rivers,90000168,TE/FLEX,3100,MIN@HOU 07/24/2026 04:05PM ET,MIN,3.28
RB,Brandon Fontaine (90000102),Brandon Fontaine,90000102,RB/FLEX,3100,DET@GB 07/24/2026 01:00PM ET,GB,2.93
TE,Preston Monroe (90000024),Preston Monroe,90000024,TE/FLEX,3100,KC@BUF 07/24/2026 01:00PM ET,KC,3.33
WR,Isaiah Fields (90000022),Isaiah Fields,90000022,WR/FLEX,3000,KC@BUF 07/24/2026 01:00PM ET,KC,2.69
TE,Chris Ashworth (90000012),Chris Ashworth,90000012,TE/FLEX,3000,KC@BUF 07/24/2026 01:00PM ET,BUF,1.8
RB,Jared Blackwell (90000150),Jared Blackwell,90000150,RB/FLEX,3000,MIN@HOU 07/24/2026 04:05PM ET,HOU,3.07
RB,Omar Winslow (90000090),Omar Winslow,90000090,RB/FLEX,3000,CIN@BAL 07/24/2026 01:00PM ET,CIN,2.2
QB,Brandon Okafor (90000231),Brandon Okafor,90000231,QB,3000,ATL@NO 07/24/2026 08:20PM ET,ATL,1.96
RB,Corey Blackwell (90000186),Corey Blackwell,90000186,RB/FLEX,3000,JAX@PIT 07/24/2026 04:25PM ET,JAX,3.18
TE,Dominic Whitfield (90000048),Dominic Whitfield,90000048,TE/FLEX,2900,PHI@DAL 07/24/2026 01:00PM ET,PHI,2.0
TE,Tyler Kessler (90000228),Tyler Kessler,90000228,TE/FLEX,2900,ATL@NO 07/24/2026 08:20PM ET,NO,2.38
TE,Ryan Estrada (90000120),Ryan Estrada,90000120,TE/FLEX,2900,DET@GB 07/24/2026 01:00PM ET,DET,2.01
RB,Corey Bishop (90000114),Corey Bishop,90000114,RB/FLEX,2900,DET@GB 07/24/2026 01:00PM ET,DET,1.97
WR,Kendall Odom (90000178),Kendall Odom,90000178,WR/FLEX,2900,JAX@PIT 07/24/2026 04:25PM ET,PIT,2.12
